Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,,,,2022-11-05 19:13:11,2022-11-05 19:13:11,0.798s,FAILED
,,,,,,,
Test Cases/Register/Run Feature File,,,,2022-11-05 19:13:11,2022-11-05 19:13:11,0.599s,FAILED
"runFeatureFile(""Include/features/Register"")",,,,2022-11-05 19:13:11,2022-11-05 19:13:11,0.323s,FAILED
